,project_id,requirement,label,source,model,zero_shot,few_shot,zero_shot_cot,raw_inst
0,1,'The system shall refresh the display every 60 seconds.',nonsec,promise_exp,gemma,nonsec,nonsec,nonsec,nonsec
1,1,'The application shall match the color of the schema set forth by Department of Homeland Security',nonsec,promise_exp,gemma,sec,sec,sec,sec
2,1,'If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30',nonsec,promise_exp,gemma,sec,sec,sec,nonsec
3,1,'The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.',nonsec,promise_exp,gemma,sec,sec,sec,nonsec
4,1,'If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100',nonsec,promise_exp,gemma,sec,nonsec,sec,nonsec
5,1,'The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts',sec,promise_exp,gemma,sec,sec,sec,sec
6,1,'The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.',nonsec,promise_exp,gemma,nonsec,nonsec,nonsec,nonsec
7,1,'The product shall respond fast to keep up-to-date data in the display.',nonsec,promise_exp,gemma,sec,nonsec,sec,nonsec
8,1,'The system shall have a MDI form that allows for the viewing of the graph and the data table.',nonsec,promise_exp,gemma,nonsec,nonsec,nonsec,nonsec
9,1,'The system shall display Events in a vertical table by time.',nonsec,promise_exp,gemma,nonsec,nonsec,nonsec,nonsec
10,1,'The system shall display the Events in a graph by time.',nonsec,promise_exp,gemma,nonsec,nonsec,nonsec,nonsec
11,1,'The system shall display Events or Activities.',nonsec,promise_exp,gemma,sec,sec,sec,nonsec
12,1,'The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table',nonsec,promise_exp,gemma,nonsec,nonsec,nonsec,nonsec
13,1,'The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data',nonsec,promise_exp,gemma,sec,sec,sec,sec
